ID_Cliente,Nombre,Email,Ciudad,Fecha_Registro
501,Cliente 501,cliente501@mail.com,CDMX,2022-01-01
502,Cliente 502,cliente502@mail.com,Guadalajara,2022-01-31
503,Cliente 503,cliente503@mail.com,CDMX,2022-03-02
504,Cliente 504,cliente504@mail.com,Guadalajara,2022-04-01
505,Cliente 505,cliente505@mail.com,Monterrey,2022-05-01
506,Cliente 506,cliente506@mail.com,CDMX,2022-05-31
507,Cliente 507,cliente507@mail.com,CDMX,2022-06-30
508,Cliente 508,cliente508@mail.com,Querétaro,2022-07-30
509,Cliente 509,cliente509@mail.com,Querétaro,2022-08-29
510,Cliente 510,cliente510@mail.com,Puebla,2022-09-28
511,Cliente 511,cliente511@mail.com,CDMX,2022-10-28
512,Cliente 512,cliente512@mail.com,CDMX,2022-11-27
513,Cliente 513,cliente513@mail.com,Guadalajara,2022-12-27
514,Cliente 514,cliente514@mail.com,Monterrey,2023-01-26
515,Cliente 515,cliente515@mail.com,CDMX,2023-02-25
516,Cliente 516,cliente516@mail.com,Querétaro,2023-03-27
517,Cliente 517,cliente517@mail.com,Querétaro,2023-04-26
518,Cliente 518,cliente518@mail.com,Monterrey,2023-05-26
519,Cliente 519,cliente519@mail.com,Guadalajara,2023-06-25
520,Cliente 520,cliente520@mail.com,Querétaro,2023-07-25
521,Cliente 521,cliente521@mail.com,CDMX,2023-08-24
522,Cliente 522,cliente522@mail.com,Guadalajara,2023-09-23
523,Cliente 523,cliente523@mail.com,Guadalajara,2023-10-23
524,Cliente 524,cliente524@mail.com,Monterrey,2023-11-22
525,Cliente 525,cliente525@mail.com,Guadalajara,2023-12-22
526,Cliente 526,cliente526@mail.com,CDMX,2024-01-21
527,Cliente 527,cliente527@mail.com,CDMX,2024-02-20
528,Cliente 528,cliente528@mail.com,CDMX,2024-03-21
529,Cliente 529,cliente529@mail.com,CDMX,2024-04-20
530,Cliente 530,cliente530@mail.com,Querétaro,2024-05-20
531,Cliente 531,cliente531@mail.com,Puebla,2024-06-19
532,Cliente 532,cliente532@mail.com,Guadalajara,2024-07-19
533,Cliente 533,cliente533@mail.com,Monterrey,2024-08-18
534,Cliente 534,cliente534@mail.com,Querétaro,2024-09-17
535,Cliente 535,cliente535@mail.com,Puebla,2024-10-17
536,Cliente 536,cliente536@mail.com,Guadalajara,2024-11-16
537,Cliente 537,cliente537@mail.com,Querétaro,2024-12-16
538,Cliente 538,cliente538@mail.com,Monterrey,2025-01-15
539,Cliente 539,cliente539@mail.com,CDMX,2025-02-14
540,Cliente 540,cliente540@mail.com,Querétaro,2025-03-16
541,Cliente 541,cliente541@mail.com,Querétaro,2025-04-15
542,Cliente 542,cliente542@mail.com,CDMX,2025-05-15
543,Cliente 543,cliente543@mail.com,Puebla,2025-06-14
544,Cliente 544,cliente544@mail.com,Querétaro,2025-07-14
545,Cliente 545,cliente545@mail.com,Guadalajara,2025-08-13
546,Cliente 546,cliente546@mail.com,CDMX,2025-09-12
547,Cliente 547,cliente547@mail.com,Guadalajara,2025-10-12
548,Cliente 548,cliente548@mail.com,CDMX,2025-11-11
549,Cliente 549,cliente549@mail.com,CDMX,2025-12-11
550,Cliente 550,cliente550@mail.com,Querétaro,2026-01-10
